Run,Fitness1,Solution1,Fitness2,Solution2
0,1.58418336E8,0055002800510054000600240051008200350044,6.9547288E7,0054002000310037003100610009002900210022
1,7.0361376E7,0047002700750054001000240048008200500048,3.4267492E7,0047005900760038002700530055003100490052
2,4.253032E7,0053002700650052001800240050008400430051,1.7939546E7,0052003800570039002000520031004700360071
3,5.2814388E7,0055002500860054003800230050009100440048,274555.3,0050002200780037001300310031009100180072
4,3439567.2,0051002700520053001800240047008700300051,845206.94,0050005600270039001900310078006600040076
5,8.9609256E7,0054002800490052002100240049009000340051,3.8795988E7,0053001000280039001700550047008900180067
6,1.00085472E8,0054002700570052001900240051008700390047,4.3456756E7,0053004200420039001900250012006700290042
7,2.51776144E8,0045002700590052003300240050008600450052,1.19127784E8,0045003200460039000600400025005600400076
8,4.7593576E7,0048002700520052000200240050008800380056,2.5053482E7,0048003500060021005000470025007600240091
9,35672.184,0049002800740027004000240077009000120046,2309685.8,0051002400770026000400230027009200210067
10,5.7121274E8,0042002700620055002400240049008500340056,2.673056E8,0043004400530036001400450045005100190103
11,8.3809139E8,0061002800570053002600240051008300490061,3.76784992E8,0059001800420038001200560015004100470132
12,4686446.5,0051002800750053001800240052008000300042,1390717.1,0051000200750038002000430000001700060000
13,7.895257E8,0060002700660056002400240047008100300051,3.54736576E8,0059003300600036001400230073002700110068
14,8.6341542E8,0061002800750055002800240050008900470052,3.8825744E8,0059001600760037001100150029008100440078
15,1.02788512E9,0039002800690055001000240049008000270046,4.78339392E8,0040001700660037002700190050001800060033
16,1.26275584E9,0063002800640055002200240049008500360044,5.6958816E8,0061001500560037001500400048005200230023
17,3.98440192E8,0057002700780057002600240049008900280057,1.77665664E8,0056003200810035001200360043008100080110
18,4.02791104E8,0044002800800053000400240047008700270056,2.54577008E8,0043002200910023004600480081006800090090
19,3578259.2,0050001300760051001200240048009100090053,2919866.8,0051002700720034001700230049008800290033
20,6887648.0,0051002800510056001500240047008300280043,2374747.2,0051000400260035002400210077003900000009
21,4517918.0,0049002800750055001600240048008900300044,1087787.9,0050002800760037002600250069008300140025
22,2.179775E7,0049002800830056000800240049009100330061,9940172.0,0049002500990040004000530047009000180113
23,6.7689747E8,0042002800730057000000240048008100470043,4.36832032E8,0040002800680051005200210070003400370020
