,Indicator,Metaheuristic,Function,DRoC Type A,DRoC Type B,ERT Diversity,Critical Diversity,FRoC Type A,FRoC Type B,ERT Fitness,Critical Fitness,SRoC Type A,SRoC Type B,ERT Separation,Critical Separation,MRoC Type A,MRoC Type B,ERT Mobility,Critical Mobility,ntotal*,nshared*,Mean ID,Mean GC,SNID,EXPLORE%,INFEASIBLE%
1820,Critical Diversity,GreedyPSO,Rosenbrock,-0.3555899514364449,-0.9992859200524901,-0.32000137233145015,1.0,0.07803333918348883,0.054172108572337986,0.1774721832735261,-0.05732216155737171,0.14269687547875623,0.22890740814261995,0.09817888189743555,0.05280784861425189,0.2899997794807188,0.37679234501651954,0.2459457677806945,-0.33091109647243455,-0.004313415544476089,0.2669671216312428,0.09554179689942845,-0.09554179689942961,-0.13201307088183742,0.04888076086833117,-0.045325235258220756
1821,FRoC Type A,GreedyPSO,Rosenbrock,-0.16874448813664303,-0.08594723190276216,0.21939155436830388,0.07803333918348883,1.0,0.30858703529088144,0.8444851598785718,-0.30826513551400875,0.21553765011807452,-0.13855241536925417,0.18985156700593966,-0.06679756961505912,-0.17524270652868354,-0.11968286789603239,-0.08386431328396987,0.10081219330324083,0.2784985800292854,-0.3762318877840002,0.31999747106287935,-0.31999747106288323,0.07544341815074444,0.3703576207803544,-0.11463308857325505
1822,FRoC Type B,GreedyPSO,Rosenbrock,-0.1780943808925576,-0.05430836319653966,0.0753832901441248,0.054172108572337986,0.30858703529088144,1.0,0.3282061647996877,-0.9998686250902221,-0.21035756721287138,-0.12210314015745218,-0.17357743829106645,-0.22289116321948338,-0.2636649685491588,0.03095685865546035,-0.2160140543746256,0.013512492502134649,0.1632687562409594,-0.24263705142369452,0.2130692925472378,-0.2130692925472424,-0.13495105265388524,0.09580285518031699,-0.1858701648453698
1823,ERT Fitness,GreedyPSO,Rosenbrock,-0.13024217331022117,-0.18311733595972599,0.21924762751217608,0.1774721832735261,0.8444851598785718,0.3282061647996877,1.0,-0.3289020817085808,0.18551050145644452,-0.34288333849177677,0.28435869046338214,-0.09205756521106756,-0.12671068858242884,0.022587878205100033,0.11303238137440387,0.015144717053875361,0.2833774645789511,-0.12061349577858183,0.2877611287821785,-0.28776112878218385,0.03469166335650266,0.38206158989667627,-0.10925629865437998
1824,Critical Fitness,GreedyPSO,Rosenbrock,0.17608652283783108,0.05758025409615782,-0.07873978520653233,-0.05732216155737171,-0.30826513551400875,-0.9998686250902221,-0.3289020817085808,1.0,0.2099744379862677,0.12061817243763048,0.17206077782818374,0.22156971476669862,0.26180206247673216,-0.033846063950482244,0.21093017673778025,-0.011782442386594512,-0.16881716195637864,0.24397746424373953,-0.21041410986230083,0.21041410986230555,0.13880397220586616,-0.10000106623062577,0.1871305297157717
1825,SRoC Type A,GreedyPSO,Rosenbrock,0.14002431650055755,-0.1516232245185993,0.2327600522407369,0.14269687547875623,0.21553765011807452,-0.21035756721287138,0.18551050145644452,0.2099744379862677,1.0,0.019882504032057404,0.7940019468625036,-0.22791346442300917,-0.21482780271773236,-0.1527976947824318,0.005315660281480164,0.21768826909167532,0.3147926174078113,-0.11364888719773994,0.0022618325012211844,-0.0022618325012268314,0.03790463992628639,0.3754782182590372,0.03032220186290318
1826,SRoC Type B,GreedyPSO,Rosenbrock,-0.01103918654414811,-0.23349666147218928,-0.21622444898066875,0.22890740814261995,-0.13855241536925417,-0.12210314015745218,-0.34288333849177677,0.12061817243763048,0.019882504032057404,1.0,0.07492636761344498,0.13457621038802137,-0.06776027273834483,0.13714059929404745,-0.016081509327369296,-0.16241814589820686,-0.37347756300953366,-0.2928817556346531,0.0010274166850642982,-0.0010274166850604612,-0.05392431519090307,-0.27545517527149055,-0.1403259510602863
1827,ERT Separation,GreedyPSO,Rosenbrock,0.16180344767752824,-0.10864668506776243,0.3236197850823711,0.09817888189743555,0.18985156700593966,-0.17357743829106645,0.28435869046338214,0.17206077782818374,0.7940019468625036,0.07492636761344498,1.0,-0.42364757841281964,-0.3435223172633104,-0.2578167893877768,0.07665708031916002,0.34590515190249826,0.33582620887494236,0.017778918615303885,0.0013903093141799526,-0.0013903093141835593,0.2175426194085096,0.4049220654385138,-0.0850908057889066
1828,Critical Separation,GreedyPSO,Rosenbrock,0.14922577090747635,-0.05120213830783333,0.0024036488989256236,0.05280784861425189,-0.06679756961505912,-0.22289116321948338,-0.09205756521106756,0.22156971476669862,-0.22791346442300917,0.13457621038802137,-0.42364757841281964,1.0,0.17326316298384936,0.17244762852013218,0.13034807758192166,-0.1755899984149782,-0.14653531730666383,-0.00020378559788039152,0.2733580907043989,-0.27335809070439765,-0.07432476328280524,-0.036592485281183175,0.04264617388947389
1829,MRoC Type A,GreedyPSO,Rosenbrock,-0.07940042942702275,-0.2877989730508326,-0.397049956812858,0.2899997794807188,-0.17524270652868354,-0.2636649685491588,-0.12671068858242884,0.26180206247673216,-0.21482780271773236,-0.06776027273834483,-0.3435223172633104,0.17326316298384936,1.0,0.6680682851539749,0.5986761281320928,-0.7601660171401277,-0.222826568772662,0.2518273742948532,-6.547422589900574e-05,6.547422589668514e-05,-0.17733785103621344,-0.31348514207636674,0.2324037621380734
1830,MRoC Type B,GreedyPSO,Rosenbrock,-0.08452130108884133,-0.3764353223109511,-0.30656880430104166,0.37679234501651954,-0.11968286789603239,0.03095685865546035,0.022587878205100033,-0.033846063950482244,-0.1527976947824318,0.13714059929404745,-0.2578167893877768,0.17244762852013218,0.6680682851539749,1.0,0.5534145095500987,-0.9639705972689815,-0.32157783069868223,-0.03267741385927023,-0.21264588571656623,0.21264588571656132,-0.5115572900333587,-0.29191938800236455,0.17310360603972375
1831,ERT Mobility,GreedyPSO,Rosenbrock,0.2756225790799665,-0.258281321324555,0.18991966708211094,0.2459457677806945,-0.08386431328396987,-0.2160140543746256,0.11303238137440387,0.21093017673778025,0.005315660281480164,-0.016081509327369296,0.07665708031916002,0.13034807758192166,0.5986761281320928,0.5534145095500987,1.0,-0.5902498269374644,0.22040568007892927,0.2905199903951212,0.05684582705631061,-0.05684582705631094,-0.11039946779896417,0.24429554167984482,0.06177319030916741
1832,Critical Mobility,GreedyPSO,Rosenbrock,0.11441461228404434,0.33091627712785593,0.3598649963827545,-0.33091109647243455,0.10081219330324083,0.013512492502134649,0.015144717053875361,-0.011782442386594512,0.21768826909167532,-0.16241814589820686,0.34590515190249826,-0.1755899984149782,-0.7601660171401277,-0.9639705972689815,-0.5902498269374644,1.0,0.36772368623380924,0.0772178419807126,0.1001084405678198,-0.10010844056781598,0.4180599993236297,0.32823751462564194,-0.12527365191171924
1833,ntotal*,GreedyPSO,Rosenbrock,0.4674100462059474,-0.013898466496829086,0.7883838380058457,-0.004313415544476089,0.2784985800292854,0.1632687562409594,0.2833774645789511,-0.16881716195637864,0.3147926174078113,-0.37347756300953366,0.33582620887494236,-0.14653531730666383,-0.222826568772662,-0.32157783069868223,0.22040568007892927,0.36772368623380924,1.0,0.15550692924553913,0.0070391550901329585,-0.007039155090133413,0.11328009185007305,0.8470167261146861,-0.09229804210843127
1834,nshared*,GreedyPSO,Rosenbrock,0.16704299891091934,-0.2626722344878423,-0.04841259507536469,0.2669671216312428,-0.3762318877840002,-0.24263705142369452,-0.12061349577858183,0.24397746424373953,-0.11364888719773994,-0.2928817556346531,0.017778918615303885,-0.00020378559788039152,0.2518273742948532,-0.03267741385927023,0.2905199903951212,0.0772178419807126,0.15550692924553913,1.0,-0.03936788701813374,0.039367887018139494,0.11401251277346591,-0.02012409385883743,0.05028261332711026
1835,Mean ID,GreedyPSO,Rosenbrock,-0.20135904365691373,-0.08871681944074931,-0.0987425584423982,0.09554179689942845,0.31999747106287935,0.2130692925472378,0.2877611287821785,-0.21041410986230083,0.0022618325012211844,0.0010274166850642982,0.0013903093141799526,0.2733580907043989,-6.547422589900574e-05,-0.21264588571656623,0.05684582705631061,0.1001084405678198,0.0070391550901329585,-0.03936788701813374,1.0,-1.0,0.27833054040892635,0.019035815506411286,-0.083771015530074
1836,Mean GC,GreedyPSO,Rosenbrock,0.20135904365691562,0.08871681944075058,0.09874255844239807,-0.09554179689942961,-0.31999747106288323,-0.2130692925472424,-0.28776112878218385,0.21041410986230555,-0.0022618325012268314,-0.0010274166850604612,-0.0013903093141835593,-0.27335809070439765,6.547422589668514e-05,0.21264588571656132,-0.05684582705631094,-0.10010844056781598,-0.007039155090133413,0.039367887018139494,-1.0,1.0,-0.2783305404089251,-0.01903581550641204,0.08377101553006788
1837,SNID,GreedyPSO,Rosenbrock,0.19608184619710237,0.13161795435947282,0.13549978103463445,-0.13201307088183742,0.07544341815074444,-0.13495105265388524,0.03469166335650266,0.13880397220586616,0.03790463992628639,-0.05392431519090307,0.2175426194085096,-0.07432476328280524,-0.17733785103621344,-0.5115572900333587,-0.11039946779896417,0.4180599993236297,0.11328009185007305,0.11401251277346591,0.27833054040892635,-0.2783305404089251,1.0,0.09500698925977459,-0.11629789704054166
